!===============================================!
!  Number of hydrograph                         !
!===============================================!
1                                                
!===============================================!
!  Hydrograph                                   !
!===============================================!
      289
0.0 44.8
10800.0 43.7
41460.0 80.9
72840.0 64.9
77940.0 64.9
85200.0 60.3
98400.0 63.3
112680.0 74.3
135660.0 71.2
148440.0 60.3
153780.0 59.0
160440.0 66.4
165300.0 66.4
184380.0 54.9
190500.0 53.5
217020.0 68.0
224460.0 57.6
244080.0 48.0
256500.0 56.2
272520.0 53.5
281760.0 60.3
298500.0 60.3
313800.0 48.0
317760.0 48.0
321180.0 53.5
325980.0 52.1
329340.0 56.2
334020.0 53.5
340080.0 72.8
357360.0 59.0
367800.0 92.8
376980.0 96.3
389700.0 86.0
395880.0 87.7
400980.0 79.2
415740.0 71.2
426120.0 71.2
433920.0 61.7
450660.0 59.0
456540.0 64.9
498600.0 66.4
512640.0 52.1
520380.0 52.1
523860.0 56.2
531600.0 54.9
561780.0 54.9
570780.0 60.3
591000.0 61.7
597660.0 72.8
610080.0 74.3
611640.0 71.2
616380.0 71.2
620100.0 77.5
630720.0 79.2
639960.0 69.6
643440.0 74.3
647640.0 63.3
663240.0 64.9
671220.0 71.2
681960.0 68.0
697860.0 48.0
706140.0 45.8
724920.0 80.9
728100.0 75.9
732600.0 77.5
754020.0 59.0
762120.0 54.9
773880.0 53.5
781500.0 60.3
798600.0 60.3
805260.0 56.2
836880.0 53.5
840660.0 57.6
846840.0 57.6
855960.0 48.0
866520.0 77.5
886440.0 59.0
903060.0 69.6
908760.0 69.6
932760.0 42.6
938220.0 40.4
948240.0 63.3
970200.0 56.2
1004760.0 59.0
1020300.0 48.0
1037220.0 49.4
1053120.0 53.5
1064280.0 53.5
1075860.0 59.0
1085040.0 59.0
1103220.0 48.0
1123800.0 50.7
1132440.0 54.9
1165200.0 56.2
1168560.0 59.0
1178700.0 59.0
1189800.0 46.9
1202700.0 44.8
1217700.0 66.4
1223160.0 66.4
1234200.0 59.0
1244340.0 56.2
1268700.0 57.6
1289640.0 45.8
1311900.0 52.1
1332660.0 52.1
1344120.0 46.9
1431540.0 50.7
1443480.0 59.0
1448760.0 57.6
1471920.0 43.7
1506060.0 42.6
1532400.0 52.1
1550100.0 52.1
1605600.0 57.6
1619160.0 57.6
1633980.0 50.7
1646100.0 54.9
1659240.0 54.9
1669680.0 50.7
1698600.0 50.7
1705620.0 48.0
1718520.0 48.0
1731180.0 56.2
1740180.0 56.2
1750800.0 53.5
1755900.0 57.6
1762920.0 56.2
1767060.0 61.7
1772160.0 57.6
1779000.0 56.2
1786260.0 60.3
1829700.0 57.6
1839180.0 63.3
1845420.0 74.3
1850580.0 72.8
1869780.0 92.8
1882200.0 87.7
1901940.0 66.4
1910460.0 71.2
1923960.0 71.2
1928700.0 77.5
1934760.0 72.8
1959480.0 74.3
1963620.0 63.3
1970280.0 66.4
1975740.0 72.8
1980720.0 64.9
2008380.0 64.9
2027220.0 64.9
2037480.0 56.2
2043480.0 61.7
2073000.0 52.1
2112840.0 53.5
2118960.0 61.7
2141940.0 69.6
2158680.0 72.8
2186100.0 59.0
2196180.0 69.6
2203020.0 69.6
2222820.0 61.7
2233440.0 50.7
2240700.0 59.0
2256180.0 46.9
2308980.0 49.4
2319240.0 45.8
2341440.0 46.9
2367480.0 43.7
2376120.0 39.4
2389320.0 40.4
2407380.0 41.5
2419020.0 40.4
2428260.0 44.8
2451720.0 38.3
2457300.0 39.4
2467500.0 44.8
2489460.0 44.8
2498700.0 40.4
2524440.0 41.5
2529360.0 39.4
2534400.0 39.4
2555520.0 50.7
2568180.0 43.7
2597040.0 45.8
2619240.0 44.8
2644380.0 53.5
2656380.0 46.9
2669940.0 48.0
2679420.0 42.6
2692860.0 42.6
2709420.0 48.0
2716140.0 54.9
2723100.0 53.5
2729040.0 56.2
2740020.0 54.9
2752440.0 48.0
2783640.0 49.4
2798160.0 68.0
2813460.0 54.9
2820720.0 60.3
2828640.0 60.3
2843340.0 52.1
2856900.0 50.7
2917980.0 52.1
2925540.0 49.4
2933640.0 49.4
2940720.0 52.1
2951880.0 53.5
2962200.0 46.9
3008820.0 52.1
3016140.0 52.1
3055380.0 43.7
3058500.0 45.8
3072720.0 45.8
3079200.0 42.6
3100380.0 42.6
3113760.0 40.4
3138900.0 40.4
3149100.0 46.9
3161820.0 49.4
3193080.0 42.6
3214320.0 43.7
3230580.0 60.3
3237240.0 59.0
3252780.0 49.4
3288120.0 40.4
3314400.0 42.6
3322440.0 46.9
3341940.0 48.0
3347220.0 56.2
3352680.0 49.4
3382980.0 45.8
3392700.0 57.6
3414360.0 54.9
3434400.0 53.5
3444360.0 46.9
3457920.0 48.0
3481920.0 42.6
3556920.0 44.8
3567780.0 43.7
