!===============================================!
!  Hydrograph                                   !
!===============================================!
      33
0.0 100.0
498.0 89.4
978.0 86.0
1044.0 87.7
1698.0 80.9
2778.0 84.3
3864.0 80.9
4986.0 71.2
5298.0 68.0
6534.0 71.2
7026.0 79.2
7062.0 86.0
7074.0 94.5
7206.0 215.0
7248.0 244.0
7386.0 297.0
7818.0 361.0
8538.0 384.0
8946.0 354.0
9258.0 301.0
9360.0 282.0
9798.0 221.0
10248.0 190.0
10542.0 181.0
10848.0 181.0
11070.0 196.0
11586.0 184.0
11766.0 176.0
11934.0 168.0
12228.0 158.0
14346.0 121.0
16458.0 107.0
17178.0 100.0
