# time h_mean u_mean v_mean w_mean
  1.464439306760493E+00  4.411712845654536E+00  1.446107297818049E+00 -6.796349283938361E-17  1.000000000000000E+00
  2.447399469342475E+00  4.411832961897175E+00  1.416458359130301E+00 -6.001393102704607E-17  1.000000000000000E+00
  3.432265670547366E+00  4.412001203473762E+00  1.389517027497942E+00 -3.977257127418770E-17  1.000000000000000E+00
  4.418349860472052E+00  4.412205274858915E+00  1.365002681160505E+00  2.648894091663491E-18  1.000000000000000E+00
  5.406077733434828E+00  4.412435119409512E+00  1.342645019965815E+00  7.889034718565329E-18  1.000000000000000E+00
  6.395527773876601E+00  4.412682327410395E+00  1.322217645306865E+00  7.543017761304016E-18  1.000000000000000E+00
  7.386594615426658E+00  4.412939838417431E+00  1.303526180660117E+00  7.739232057628609E-18  1.000000000000000E+00
  8.379081806562285E+00  4.413201724537221E+00  1.286401012816571E+00  1.225785325370806E-17  1.000000000000000E+00
  9.372431957355305E+00  4.413462936350973E+00  1.270697335940184E+00  2.994060112724220E-17  1.000000000000000E+00
  1.036636389415377E+01  4.413719329527940E+00  1.256281629546890E+00  2.995400202416797E-17  1.000000000000000E+00
  1.136071149748533E+01  4.413967500928056E+00  1.243033371166446E+00  2.832952122608305E-17  1.000000000000000E+00
  1.235531947366344E+01  4.414204655438035E+00  1.230844965990700E+00  4.501284771207214E-17  1.000000000000000E+00
  1.335005216603553E+01  4.414428519030275E+00  1.219620031502184E+00  6.140973064972850E-17  1.000000000000000E+00
  1.434479714798520E+01  4.414637263746379E+00  1.209272014947242E+00  2.451069969973797E-17  1.000000000000000E+00
  1.533946540930021E+01  4.414829442870854E+00  1.199723046173833E+00  2.353167095905588E-17  1.000000000000000E+00
  1.633398955127947E+01  4.415003935018757E+00  1.190902962444437E+00  4.579104341276027E-17  1.000000000000000E+00
  1.732832099306481E+01  4.415159896067554E+00  1.182748464548772E+00  6.184926356000906E-17  1.000000000000000E+00
  1.832242684642246E+01  4.415296717973859E+00  1.175202377845444E+00  7.566843929544785E-17  1.000000000000000E+00
  1.931628685703119E+01  4.415413993611546E+00  1.168213000579038E+00  5.984213933823435E-17  1.000000000000000E+00
  2.030989062918185E+01  4.415511486894784E+00  1.161733527100037E+00  2.147204334798845E-17  1.000000000000000E+00
  2.130323523138890E+01  4.415589107638789E+00  1.155721536941129E+00  2.596338701250693E-17  1.000000000000000E+00
  2.229632320625100E+01  4.415646890881350E+00  1.150138543020085E+00  2.984209304215138E-17  1.000000000000000E+00
  2.328916096513134E+01  4.415684980735588E+00  1.144949594076936E+00  2.871011454811013E-17  1.000000000000000E+00
  2.428175752628421E+01  4.415703619228944E+00  1.140122928015621E+00  4.910159564751696E-18  1.000000000000000E+00
  2.527412354630729E+01  4.415703140922091E+00  1.135629674061245E+00 -3.627300431589800E-17  1.000000000000000E+00
  2.626627059397449E+01  4.415683974280226E+00  1.131443602358351E+00 -2.995517765920966E-17  1.000000000000000E+00
  2.725821061686221E+01  4.415646650671229E+00  1.127540919584013E+00 -2.874562062276616E-17  1.000000000000000E+00
  2.824995555892077E+01  4.415591821410627E+00  1.123900108140705E+00 -5.048223781180397E-17  1.000000000000000E+00
  2.924151710897888E+01  4.415520282453968E+00  1.120501804532834E+00 -8.960077551299314E-17  1.000000000000000E+00
  3.023290653420990E+01  4.415433005241731E+00  1.117328710087803E+00 -8.133640410091938E-17  1.000000000000000E+00
  3.122413457450195E+01  4.415331170997428E+00  1.114365524348914E+00 -7.800766961890922E-17  1.000000000000000E+00
  3.221521138352060E+01  4.415216204688141E+00  1.111598889102043E+00 -7.523801913870574E-17  1.000000000000000E+00
  3.320614650386424E+01  4.415089804107438E+00  1.109017329638045E+00 -5.430375176322929E-17  1.000000000000000E+00
  3.419694886606482E+01  4.414953959314817E+00  1.106611179898341E+00 -5.241291996466528E-17  1.000000000000000E+00
  3.518762680352236E+01  4.414810958058999E+00  1.104372479801985E+00 -2.736291291985246E-17  1.000000000000000E+00
  3.617818807748986E+01  4.414663373814421E+00  1.102294836221113E+00 -4.455093156312408E-17  1.000000000000000E+00
  3.716863990786672E+01  4.414514034558424E+00  1.100373243405923E+00 -6.111758533762953E-17  1.000000000000000E+00
  3.815898900683126E+01  4.414365972219877E+00  1.098603863616543E+00 -8.162299003224459E-17  1.000000000000000E+00
  3.914924161329833E+01  4.414222354604789E+00  1.096983773665074E+00 -5.098839570160021E-17  1.000000000000000E+00
  4.013940352688626E+01  4.414086403315959E+00  1.095510687395098E+00 -4.418571315183632E-17  1.000000000000000E+00
  4.112948014057652E+01  4.413961302531423E+00  1.094182667329472E+00 -3.763027085936441E-17  1.000000000000000E+00
  4.211947647159731E+01  4.413850104350229E+00  1.092997840478144E+00 -5.250455917502584E-17  1.000000000000000E+00
  4.310939719029929E+01  4.413755636687725E+00  1.091954133497132E+00 -5.557120749182849E-17  1.000000000000000E+00
  4.409924664694717E+01  4.413680419413206E+00  1.091049041105514E+00 -4.025106732296155E-17  1.000000000000000E+00
  4.508902889645066E+01  4.413626593642289E+00  1.090279439140643E+00 -7.484336222685886E-17  1.000000000000000E+00
  4.607874772111764E+01  4.413595867942616E+00  1.089641450217706E+00 -5.925079729248715E-17  1.000000000000000E+00
  4.706840665154536E+01  4.413589483829684E+00  1.089130366069623E+00 -6.207567722215916E-17  1.000000000000000E+00
  4.805800898578099E+01  4.413608201470556E+00  1.088740626690976E+00 -1.008366197024792E-16  1.000000000000000E+00
  4.904753623793327E+01  4.413652304018894E+00  1.088465857940930E+00 -7.902068140052007E-17  1.000000000000000E+00
  5.003697413004274E+01  4.413721620337424E+00  1.088298935918166E+00 -9.922038671763241E-17  1.000000000000000E+00
  5.102632746961847E+01  4.413815566023152E+00  1.088232107192258E+00 -9.564322280239231E-17  1.000000000000000E+00
  5.201560075773586E+01  4.413933194422082E+00  1.088257142606984E+00 -9.910196541026652E-17  1.000000000000000E+00
  5.300479821159750E+01  4.414073256021733E+00  1.088365498917127E+00 -9.066098607393821E-17  1.000000000000000E+00
  5.448846078533145E+01  4.414322105844201E+00  1.088665253662994E+00 -6.276783115246539E-17  1.000000000000000E+00
  5.547748542307006E+01  4.414511377157006E+00  1.088943982951036E+00 -6.041170472800491E-17  1.000000000000000E+00
  5.646644703513571E+01  4.414717251393917E+00  1.089276040948390E+00 -6.318160331561717E-17  1.000000000000000E+00
  5.745534879425749E+01  4.414937900707787E+00  1.089653445921210E+00 -4.265573831265968E-17  1.000000000000000E+00
  5.844419368422624E+01  4.415171522898628E+00  1.090068694519168E+00 -2.329395511056881E-17  1.000000000000000E+00
  5.943298451296899E+01  4.415416382718499E+00  1.090514842485260E+00 -4.026727314542999E-17  1.000000000000000E+00
  6.042172392460490E+01  4.415670844840338E+00  1.090985560943419E+00 -3.353472209488734E-17  1.000000000000000E+00
  6.141041441056838E+01  4.415933398562166E+00  1.091475169414643E+00 -1.418607510801382E-17  1.000000000000000E+00
  6.239905831987756E+01  4.416202674700958E+00  1.091978647667462E+00 -3.147462731639099E-17  1.000000000000000E+00
  6.338765786861976E+01  4.416477455411518E+00  1.092491629157196E+00 -1.253802184223660E-17  1.000000000000000E+00
  6.437621514871907E+01  4.416756677848765E+00  1.093010379173245E+00 -1.166559686003602E-17  1.000000000000000E+00
  6.536473213604566E+01  4.417039432686753E+00  1.093531760932781E+00 -2.903108866545444E-17  1.000000000000000E+00
  6.635321069792153E+01  4.417324958528844E+00  1.094053192780109E+00 -4.609157767078041E-17  1.000000000000000E+00
  6.734165260007211E+01  4.417612633206364E+00  1.094572599423411E+00 -3.948341179968782E-17  1.000000000000000E+00
  6.833005951306929E+01  4.417901962883929E+00  1.095088359812987E+00  1.145114538585675E-18  1.000000000000000E+00
  6.931843301830718E+01  4.418192569783272E+00  1.095599253880604E+00  6.368115603055537E-18  1.000000000000000E+00
  7.030677461354846E+01  4.418484179216810E+00  1.096104409954292E+00  8.740985242956492E-19  1.000000000000000E+00
  7.129508571807568E+01  4.418776606497766E+00  1.096603254265205E+00  6.104322976906685E-18  1.000000000000000E+00
  7.228336767747892E+01  4.419069744173489E+00  1.097095463593446E+00 -1.187249192356389E-17  1.000000000000000E+00
  7.327162176810876E+01  4.419363549918256E+00  1.097580921771318E+00  2.931921480226845E-17  1.000000000000000E+00
  7.425984920122048E+01  4.419658035324655E+00  1.098059680482373E+00  3.318551075289420E-17  1.000000000000000E+00
  7.524805112683381E+01  4.419953255750338E+00  1.098531924564986E+00  3.231042174132193E-17  1.000000000000000E+00
  7.623622863733000E+01  4.420249301309674E+00  1.098997941848383E+00  5.380285188104458E-17  1.000000000000000E+00
  7.722438277080616E+01  4.420546289046841E+00  1.099458097412725E+00  5.226906090521340E-17  1.000000000000000E+00
  7.821251451420562E+01  4.420844356286580E+00  1.099912812067288E+00  5.046229243369406E-17  1.000000000000000E+00
  7.920062480624094E+01  4.421143655129436E+00  1.100362544775122E+00  3.057913461742657E-17  1.000000000000000E+00
  8.018871454012493E+01  4.421444348037572E+00  1.100807778712281E+00  2.454740245172239E-17  1.000000000000000E+00
  8.117678456612428E+01  4.421746604443315E+00  1.101249010628249E+00  2.365654522829706E-17  1.000000000000000E+00
  8.216483569394836E+01  4.422050598303415E+00  1.101686743165933E+00 -1.787069948561378E-17  1.000000000000000E+00
  8.315286869498551E+01  4.422356506516167E+00  1.102121479799797E+00 -5.132252911819681E-17  1.000000000000000E+00
  8.414088430439773E+01  4.422664508114515E+00  1.102553722055647E+00 -4.978744758632834E-17  1.000000000000000E+00
  8.512888322308383E+01  4.422974784145314E+00  1.102983968682489E+00 -4.306397701816144E-17  1.000000000000000E+00
  8.611686611952047E+01  4.423287518142216E+00  1.103412716454198E+00 -6.401789669102286E-17  1.000000000000000E+00
  8.710483363148970E+01  4.423602897097029E+00  1.103840462285476E+00 -2.107630169064289E-17  1.000000000000000E+00
  8.809278636770085E+01  4.423921112831694E+00  1.104267706352840E+00 -3.799410476465062E-17  1.000000000000000E+00
  8.908072490931417E+01  4.424242363670528E+00  1.104694955917510E+00 -5.944193723052029E-17  1.000000000000000E+00
