!===============================================!				
!	Number	of	hydrograph	!
!===============================================!				
2				
!===============================================!				
!	Hydrograph	1	!	
!===============================================!				
318				
0	100
7000	100		
7020	100.399973333867			
7040	100.799786683733			
7060	101.199280129589			
7080	101.598293879383			
7100	101.996668332937			
7120	102.394244145778			
7140	102.790862292885			
7160	103.186364132285			
7180	103.580591468516			
7200	103.973386615901			
7220	104.364592461617			
7240	104.754052528543			
7260	105.141611037843			
7280	105.527112971282			
7300	105.910404133227			
7320	106.291331212322			
7340	106.669741842816			
7360	107.045484665502			
7380	107.41840938826			
7400	107.788366846173			
7420	108.155209061191			
7440	108.51878930132			
7460	108.87896213931			
7480	109.23558351083			
7500	109.588510772084			
7520	109.937602756875			
7540	110.282719833062			
7560	110.623723958418			
7580	110.960478735837			
7600	111.292849467901			
7620	111.620703210746			
7640	111.943908827248			
7660	112.262337039469			
7680	112.575860480369			
7700	112.884353744754			
7720	113.187693439429			
7740	113.485758232563			
7760	113.778428902211			
7780	114.065588384008			
7800	114.34712181799			
7820	114.622916594538			
7840	114.892862399417			
7860	115.156851257906			
7880	115.414777577979			
7900	115.66653819255			
7920	115.912032400727			
7940	116.151162008102			
7960	116.38383136602			
7980	116.609947409839			
8000	116.829419696158			
8020	117.042160438987			
8040	117.248084544867			
8060	117.4471096469			
8080	117.639156137699			
8100	117.824147201229			
8120	118.00200884353			
8140	118.172669922318			
8160	118.336062175435			
8180	118.49212024816			
8200	118.640781719345			
8220	118.781987126381			
8240	118.915679988991			
8260	119.04180683181			
8280	119.160317205785			
8300	119.271163708344			
8320	119.374302002365			
8340	119.469690833906			
8360	119.557292048706			
8380	119.637070607447			
8400	119.708994599769			
8420	119.773035257034			
8440	119.829166963834			
8460	119.877367268233			
8480	119.917616890753			
8500	119.949899732081			
8520	119.974202879512			
8540	119.99051661211			
8560	119.998834404599			
8580	119.999152929975			
8600	119.99147206083			
8620	119.97579486941			
8640	119.952127626383			
8660	119.920479798331			
8680	119.880864043962			
8700	119.833296209049			
8720	119.777795320094			
8740	119.714383576711			
8760	119.643086342752			
8780	119.563932136161			
8800	119.476952617564			
8820	119.382182577609			
8840	119.279659923049			
8860	119.169425661578			
8880	119.051523885432			
8900	118.926001753748			
8920	118.792909473707			
8940	118.652300280444			
8960	118.504230415763			
8980	118.348759105636			
9000	118.185948536514			
9020	118.015863830453			
9040	117.838573019068			
9060	117.654147016319			
9080	117.46265959015			
9100	117.264187332977			
9120	117.058809631058			
9140	116.846608632733			
9160	116.627669215574			
9180	116.402078952428			
