# time sum_mass_flux_inflow_001
  1.003942783395981E+01                    NaN
  1.993917391163432E+01                    NaN
  2.995811466075906E+01  0.000000000000000E+00
  4.003762367611274E+01                    NaN
  4.995436362159111E+01 -3.301513768150233E-04
  5.996214497190416E+01 -1.077483640643877E-04
  6.996696271998009E+01 -4.236415396535562E-05
  8.000803141475369E+01 -2.311660787279800E-05
  8.996843253449666E+01 -1.697785015440487E-05
  9.997163387493153E+01 -1.281966234221164E-05
  1.100250988308115E+02 -9.903806020663136E-06
  1.199966363545190E+02 -7.823978017872027E-06
  1.299833874366797E+02 -6.286094187944813E-06
  1.399565957221258E+02 -5.127678508326119E-06
  1.500283615135830E+02 -4.229612727828754E-06
  1.599572163386083E+02 -3.538460338065595E-06
  1.700078375435510E+02 -2.984097444796521E-06
  1.799865820367158E+02 -2.542628063868729E-06
  1.899481195283132E+02 -2.184597813232666E-06
  1.999877243374703E+02 -1.888871136767378E-06
  2.100127539626950E+02 -1.644463956325198E-06
  2.200427616669016E+02 -1.440314121097761E-06
  2.299645746104495E+02 -1.270429690601118E-06
  2.400378782617584E+02 -1.124123266267015E-06
  2.500146747650107E+02 -1.000637551607563E-06
  2.600232966611092E+02 -8.942489290922213E-07
  2.700660606524403E+02 -8.021046081263226E-07
  2.800077602073064E+02 -7.229990120417516E-07
  2.899794602499239E+02 -6.537469230014266E-07
  2.999803464165660E+02 -5.928810132882103E-07
  3.100120540162953E+02 -5.392044464332443E-07
  3.200724168599749E+02 -4.917026530552338E-07
  3.300007175856517E+02 -4.501194563041160E-07
  3.399472874233902E+02 -4.130421717523897E-07
  3.500671543010134E+02 -3.793831123240121E-07
  3.600408318751451E+02 -3.496961302680147E-07
  3.700226177252293E+02 -3.230121758704758E-07
  3.800067679465087E+02 -2.989652711869078E-07
  3.899897624184821E+02 -2.772466199856341E-07
  3.999692552655184E+02 -2.575917877745472E-07
  4.099407158108813E+02 -2.397673764589223E-07
  4.200775510370098E+02 -2.232906651672854E-07
  4.300214061896086E+02 -2.085648164998352E-07
  4.399428817232622E+02 -1.951339396179853E-07
  4.500257123070027E+02 -1.826406123182220E-07
  4.600774950532888E+02 -1.712253553799559E-07
  4.700897155763186E+02 -1.607814424482342E-07
  4.800569927590710E+02 -1.512112819905139E-07
  4.899739372084260E+02 -1.424287677180868E-07
  5.000376232472004E+02 -1.341980700250524E-07
  5.100455406376016E+02 -1.266302215868195E-07
  5.199917348505940E+02 -1.196624487918577E-07
  5.300820337385710E+02 -1.131064534027732E-07
  5.401046089630474E+02 -1.070600634637366E-07
  5.500534601239914E+02 -1.014770833884325E-07
  5.599223453543453E+02 -9.631612669316158E-08
  5.699285146801207E+02 -9.143442099169969E-08
  5.800751305853007E+02 -8.681552005901936E-08
  5.899042607004810E+02 -8.263297680213591E-08
  6.001000185734921E+02 -7.857363575669445E-08
  6.099650497892125E+02 -7.489520258085893E-08
  6.199622550958220E+02 -7.139805164916890E-08
  6.300941999499399E+02 -6.807243764720913E-08
  6.401175303592321E+02 -6.498273603491180E-08
  6.500248043016867E+02 -6.210979705641035E-08
  6.600614371823368E+02 -5.936947081933624E-08
  6.699738616945444E+02 -5.681895676818749E-08
  6.800142133824929E+02 -5.438247188190887E-08
  6.899219407939260E+02 -5.211277631982298E-08
  6.999552803269303E+02 -4.994121918686437E-08
  7.101165155035796E+02 -4.786323192933321E-08
  7.201352539678687E+02 -4.592566896500442E-08
  7.300040102547345E+02 -4.411809921622532E-08
  7.399938040518085E+02 -4.238369512576526E-08
  7.501067502923252E+02 -4.071928891128966E-08
  7.600591508268240E+02 -3.916539631986714E-08
  7.701315226161211E+02 -3.767209637452872E-08
  7.800336726241201E+02 -3.627720070523313E-08
  7.900533902531828E+02 -3.493497000664338E-08
  7.998930013744252E+02 -3.368061938323809E-08
  8.101502104182896E+02 -3.243608288484695E-08
  8.199168636979518E+02 -3.130741673822695E-08
  8.301048435045042E+02 -3.018510727099281E-08
  8.400991416240444E+02 -2.913572580382844E-08
  8.498909229555721E+02 -2.815432987957017E-08
  8.601129817236013E+02 -2.717620616237010E-08
  8.701281434244328E+02 -2.626126846990540E-08
  8.799280480340458E+02 -2.540538851793308E-08
  8.898352557977203E+02 -2.457752901077827E-08
  8.998513843929506E+02 -2.377673257399937E-08
  9.099780779303148E+02 -2.300207725151487E-08
  9.198743347048429E+02 -2.227729001710991E-08
  9.298760999765851E+02 -2.157526308475058E-08
  9.399867650542794E+02 -2.089537975280369E-08
  9.498514374109023E+02 -2.025923101500813E-08
  9.601753677905840E+02 -1.962077384671393E-08
  9.698875366590701E+02 -1.904449720139232E-08
  9.800617022980034E+02 -1.846471285223555E-08
  9.899725891799078E+02 -1.792231872048828E-08
  9.999836911369941E+02 -1.739584104152160E-08
  1.000000000000000E+03 -1.737663180379898E-08
