 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42030590E-01  9.88366196E-01  2.50000000E-02  2.37361673E-08 -2.60904745E-08 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94419668E-01  9.88366212E-01  2.50000000E-02  1.36088874E-07 -7.47448251E-08 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788104E+00  9.88366219E-01  2.50000000E-02  2.28675928E-07  5.05427987E-10 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97216478E-01  9.88366064E-01  2.50000000E-02  3.51284995E-07  4.93268166E-07 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999163E-01  9.88366159E-01  2.50000000E-02 -3.48663337E-08 -1.11590013E-09 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60848680E-01  9.88366296E-01  2.50000000E-02  6.25148887E-07 -6.75951219E-07 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41984585E-01  9.88366038E-01  2.50000000E-02  5.99382839E-07  1.92804193E-07 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17073437E-01  9.88366049E-01  2.50000000E-02  1.93443723E-10  6.84440921E-07 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23627295E-02  9.88366987E-01  2.50000000E-02 -1.75692856E-05  1.68020703E-06 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13430431E-01  9.88367600E-01  2.50000000E-02 -1.17212371E-05  4.75331539E-06 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44443356E-01  9.88368868E-01  2.50000000E-02 -5.07970505E-06 -8.65025098E-07 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936334E+00  9.88368373E-01  2.50000000E-02 -2.99855324E-06 -8.47316310E-07 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49680342E-01  9.88368261E-01  2.50000000E-02 -2.54173851E-06  2.27824937E-08 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06749159E+00  9.88368708E-01  2.50000000E-02 -8.30599565E-07 -7.45687519E-07 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44324700E-01  9.88368762E-01  2.50000000E-02  1.42444586E-06 -1.16576138E-06 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401205E+00  9.88368526E-01  2.50000000E-02  2.80711853E-06 -2.33874038E-07 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62395795E-01  9.88368553E-01  2.50000000E-02  2.85374839E-06 -1.91257505E-09 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50438007E+00  9.88368263E-01  2.50000000E-02  1.84824987E-06  2.67233004E-07 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90890055E+00  9.88368731E-01  2.50000000E-02  1.93866127E-06 -1.41588618E-07 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96078767E-01  9.88368460E-01  2.50000000E-02  4.51708844E-06 -5.44046298E-07 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806606E+00  9.88368675E-01  2.50000000E-02  6.57398180E-06 -8.71131853E-07 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50281444E-01  9.88367983E-01  2.50000000E-02  5.76751184E-06  1.64835091E-06 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512840E+00  9.88368903E-01  2.50000000E-02  5.48757101E-06  8.63992971E-08 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49766971E-01  9.88367964E-01  2.50000000E-02  1.44063004E-05 -1.32839383E-06 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127285E+00  9.88367601E-01  2.50000000E-02  1.42656479E-05  7.34505225E-07 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80130232E-01  9.88368056E-01  2.50000000E-02  4.64897730E-06  3.26087494E-06 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16532529E-01  9.88368571E-01  2.50000000E-02  1.61687718E-06 -6.56716363E-07 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52144669E-01  9.88368350E-01  2.50000000E-02  7.35731254E-07  6.52747203E-07 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.37361829E+00  9.88368493E-01  2.50000000E-02 -2.18097084E-07  1.86275323E-07 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.22024624E+00  9.88368857E-01  2.50000000E-02  4.53123691E-07 -8.41395081E-07 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  8.74590125E-01  9.88368376E-01  2.50000000E-02  1.52448508E-06  2.90314282E-07 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.19208456E+00  9.88368377E-01  2.50000000E-02  8.92244666E-07  1.03778574E-07 
      33  8.12500000E+02  1.25000000E+01 -8.01970376E-01  1.79033886E+00  9.88368487E-01  2.50000000E-02  7.60153637E-07 -5.95002680E-08 
      34  8.37500000E+02  1.25000000E+01 -2.45458514E-01  1.23382701E+00  9.88368497E-01  2.50000000E-02  8.99356989E-07  2.32225502E-07 
      35  8.62500000E+02  1.25000000E+01  6.55172082E-01  3.33196336E-01  9.88368419E-01  2.50000000E-02  1.31247959E-06  2.25747152E-08 
      36  8.87500000E+02  1.25000000E+01 -7.59466771E-01  1.74783503E+00  9.88368259E-01  2.50000000E-02  2.86454551E-07  7.76134299E-08 
      37  9.12500000E+02  1.25000000E+01 -1.48571111E-01  1.13693940E+00  9.88368289E-01  2.50000000E-02  3.24225621E-08  8.31792104E-08 
      38  9.37500000E+02  1.25000000E+01 -9.38289085E-01  1.92665740E+00  9.88368320E-01  2.50000000E-02 -6.27941115E-08 -1.98016222E-09 
      39  9.62500000E+02  1.25000000E+01  6.10300161E-01  3.78068190E-01  9.88368351E-01  2.50000000E-02 -1.26094037E-07 -6.37854522E-08 
      40  9.87500000E+02  1.25000000E+01 -2.47851854E-01  1.23622022E+00  9.88368363E-01  2.50000000E-02 -1.32177270E-08 -2.43012246E-08 
      41  1.25000000E+01  3.75000000E+01 -5.98248598E-03  9.94348673E-01  9.88366187E-01  2.50000000E-02  5.33175118E-08 -1.12560815E-07 
      42  3.75000000E+01  3.75000000E+01 -2.67561176E-01  1.25592738E+00  9.88366204E-01  2.50000000E-02  2.11038654E-07 -2.49934464E-07 
      43  6.25000000E+01  3.75000000E+01 -5.60496726E-01  1.54886294E+00  9.88366216E-01  2.50000000E-02  3.93910503E-07 -6.76696801E-09 
      44  8.75000000E+01  3.75000000E+01  6.36443375E-01  3.51922698E-01  9.88366073E-01  2.50000000E-02  1.12301582E-06  1.56063321E-06 
      45  1.12500000E+02  3.75000000E+01  9.86166516E-01  2.19982932E-03  9.88366345E-01  2.50000000E-02 -2.10091740E-05 -6.61794289E-06 
      46  1.37500000E+02  3.75000000E+01 -5.10431734E-01  1.49879856E+00  9.88366822E-01  2.50000000E-02 -1.14398086E-06  7.19875194E-07 
      47  1.62500000E+02  3.75000000E+01 -4.55747954E-01  1.44411435E+00  9.88366394E-01  2.50000000E-02 -2.25252815E-06  1.87101658E-06 
      48  1.87500000E+02  3.75000000E+01 -9.26617771E-01  1.91498407E+00  9.88366298E-01  2.50000000E-02 -4.71657902E-06  3.03676359E-06 
      49  2.12500000E+02  3.75000000E+01 -6.05654847E-01  1.59402150E+00  9.88366652E-01  2.50000000E-02 -6.15378630E-06  8.77625625E-08 
      50  2.37500000E+02  3.75000000E+01 -4.45395756E-01  1.43376211E+00  9.88366356E-01  2.50000000E-02 -7.55756488E-06  8.21588396E-06 
      51  2.62500000E+02  3.75000000E+01  6.78131645E-01  3.10237319E-01  9.88368964E-01  2.50000000E-02 -1.43007022E-05 -9.42766121E-06 
      52  2.87500000E+02  3.75000000E+01  4.31827320E-01  5.56540923E-01  9.88368242E-01  2.50000000E-02 -1.02777242E-05 -5.62075977E-06 
      53  3.12500000E+02  3.75000000E+01  9.58920598E-01  2.94475319E-02  9.88368130E-01  2.50000000E-02 -6.99716266E-06  1.49484759E-06 
      54  3.37500000E+02  3.75000000E+01 -1.43604037E-01  1.13197263E+00  9.88368598E-01  2.50000000E-02  1.92027912E-06 -2.55048075E-06 
      55  3.62500000E+02  3.75000000E+01 -7.98346345E-01  1.78671525E+00  9.88368908E-01  2.50000000E-02  2.85817930E-06 -2.92217835E-06 
      56  3.87500000E+02  3.75000000E+01 -7.61416868E-01  1.74978553E+00  9.88368657E-01  2.50000000E-02  3.15838917E-06 -3.73091500E-07 
      57  4.12500000E+02  3.75000000E+01 -7.32299337E-01  1.72066815E+00  9.88368812E-01  2.50000000E-02  3.14247595E-06  8.14482213E-07 
      58  4.37500000E+02  3.75000000E+01  4.06542981E-03  9.84303131E-01  9.88368561E-01  2.50000000E-02  2.96479433E-06  2.21006720E-06 
      59  4.62500000E+02  3.75000000E+01  5.23048454E-01  4.65320516E-01  9.88368970E-01  2.50000000E-02  1.50956133E-06 -1.40055421E-06 
      60  4.87500000E+02  3.75000000E+01  8.70015014E-01  1.18354066E-01  9.88369080E-01  2.50000000E-02  4.81758905E-06 -1.02264109E-05 
      61  5.12500000E+02  3.75000000E+01  6.95774785E-02  9.18791213E-01  9.88368692E-01  2.50000000E-02  4.88289112E-06 -4.85566772E-06 
      62  5.37500000E+02  3.75000000E+01 -2.62874281E-01  1.25124254E+00  9.88368263E-01  2.50000000E-02  3.18288975E-06  5.84571716E-06 
      63  5.62500000E+02  3.75000000E+01  2.57640648E-02  9.62604817E-01  9.88368882E-01  2.50000000E-02  2.14215175E-06  4.18611662E-07 
      64  5.87500000E+02  3.75000000E+01  5.75245284E-01  4.13123156E-01  9.88368440E-01  2.50000000E-02  2.98118724E-06 -9.58834310E-07 
      65  6.12500000E+02  3.75000000E+01 -6.05455565E-01  1.59382344E+00  9.88367871E-01  2.50000000E-02 -1.37360821E-06  2.99562447E-06 
      66  6.37500000E+02  3.75000000E+01 -6.78783371E-01  1.66715112E+00  9.88367745E-01  2.50000000E-02 -2.66111281E-06  7.42286810E-06 
      67  6.62500000E+02  3.75000000E+01 -9.13459003E-01  1.90182728E+00  9.88368281E-01  2.50000000E-02 -2.87283718E-06 -2.98817893E-06 
      68  6.87500000E+02  3.75000000E+01 -6.50455217E-01  1.63882329E+00  9.88368076E-01  2.50000000E-02 -2.28005333E-06  1.03920128E-06 
      69  7.12500000E+02  3.75000000E+01  2.69543656E-01  7.18824551E-01  9.88368207E-01  2.50000000E-02 -1.60900163E-06  1.12685163E-07 
      70  7.37500000E+02  3.75000000E+01 -3.48170109E-01  1.33653878E+00  9.88368674E-01  2.50000000E-02  1.16746346E-06 -3.03525356E-06 
      71  7.62500000E+02  3.75000000E+01 -8.77683744E-01  1.86605203E+00  9.88368281E-01  2.50000000E-02  1.78768830E-06  5.40202289E-07 
