 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  5.42031230E-01  9.88366836E-01  2.50000000E-02 -1.39335468E-13  2.89086737E-14 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  9.94420292E-01  9.88366836E-01  2.50000000E-02 -2.53311156E-13 -1.42538960E-14 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.53788166E+00  9.88366836E-01  2.50000000E-02 -3.68165800E-13 -3.14535433E-15 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.97217250E-01  9.88366836E-01  2.50000000E-02 -2.44158666E-12  3.56269564E-13 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  9.26999840E-01  9.88366836E-01  2.50000000E-02 -2.37748796E-12  1.15717529E-15 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  3.60849220E-01  9.88366836E-01  2.50000000E-02 -4.04015966E-13 -1.84069452E-12 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  7.41985383E-01  9.88366836E-01  2.50000000E-02  9.57747893E-13 -1.10365827E-13 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  6.17074224E-01  9.88366836E-01  2.50000000E-02  8.52563179E-13  2.14682123E-13 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  4.23625780E-02  9.88366836E-01  2.50000000E-02  2.12026808E-12 -7.00223291E-13 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  4.13429667E-01  9.88366836E-01  2.50000000E-02  1.99966954E-12 -1.08099356E-12 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  9.44441324E-01  9.88366836E-01  2.50000000E-02  1.09344386E-12 -3.29795046E-14 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.02936180E+00  9.88366836E-01  2.50000000E-02  8.78303572E-13  5.72663808E-14 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  5.49678917E-01  9.88366836E-01  2.50000000E-02  8.42191349E-13  2.12056405E-14 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.06748972E+00  9.88366836E-01  2.50000000E-02  9.68735964E-13 -2.78806718E-13 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  7.44322773E-01  9.88366836E-01  2.50000000E-02  7.79878891E-13  2.87138777E-13 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.67401036E+00  9.88366836E-01  2.50000000E-02  4.89698377E-13 -9.95420787E-14 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  9.62394078E-01  9.88366836E-01  2.50000000E-02  1.36064224E-12 -8.81005887E-13 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.50437865E+00  9.88366836E-01  2.50000000E-02  2.12090692E-12 -4.10117538E-13 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.90889865E+00  9.88366836E-01  2.50000000E-02  2.66710527E-12 -2.38598131E-14 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  6.96077142E-01  9.88366836E-01  2.50000000E-02  4.63387658E-12 -1.72190267E-13 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.61806422E+00  9.88366836E-01  2.50000000E-02  4.43074445E-12 -1.13480990E-13 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  8.50280297E-01  9.88366836E-01  2.50000000E-02  3.86359989E-12  2.40603193E-13 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.73512633E+00  9.88366836E-01  2.50000000E-02  4.24570271E-12  2.30829411E-13 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  2.49765843E-01  9.88366836E-01  2.50000000E-02  8.05958417E-12  2.71768547E-13 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.69127208E+00  9.88366836E-01  2.50000000E-02  7.68314499E-12  1.07598630E-13 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.80129012E-01  9.88366836E-01  2.50000000E-02  7.44188177E-12  2.76307892E-14 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  7.16530794E-01  9.88366836E-01  2.50000000E-02  3.61228935E-12 -7.83477209E-13 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  8.52143155E-01  9.88366836E-01  2.50000000E-02  3.45388649E-12 -5.70796206E-13 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.37361663E+00  9.88366836E-01  2.50000000E-02  3.04684348E-12 -1.03894178E-13 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.22024422E+00  9.88366836E-01  2.50000000E-02  2.59622218E-12  4.12903786E-13 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  8.74588585E-01  9.88366836E-01  2.50000000E-02  2.24998126E-12  1.32347493E-13 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.19208302E+00  9.88366836E-01  2.50000000E-02  1.62113701E-12  2.37039359E-14 
      33  8.12500000E+02  1.25000000E+01 -8.01970376E-01  1.79033721E+00  9.88366836E-01  2.50000000E-02  1.22297609E-12  3.72048092E-14 
      34  8.37500000E+02  1.25000000E+01 -2.45458514E-01  1.23382535E+00  9.88366836E-01  2.50000000E-02  1.14142900E-12  3.06573660E-13 
      35  8.62500000E+02  1.25000000E+01  6.55172082E-01  3.33194753E-01  9.88366836E-01  2.50000000E-02  1.18117845E-12  7.14964879E-14 
      36  8.87500000E+02  1.25000000E+01 -7.59466771E-01  1.74783361E+00  9.88366836E-01  2.50000000E-02  4.18973731E-13 -5.99393308E-14 
      37  9.12500000E+02  1.25000000E+01 -1.48571111E-01  1.13693795E+00  9.88366836E-01  2.50000000E-02  3.32041016E-13 -4.99797036E-14 
      38  9.37500000E+02  1.25000000E+01 -9.38289085E-01  1.92665592E+00  9.88366836E-01  2.50000000E-02  3.58898027E-13  5.96681110E-15 
      39  9.62500000E+02  1.25000000E+01  6.10300161E-01  3.78066674E-01  9.88366836E-01  2.50000000E-02  4.31502036E-13 -6.23785034E-14 
      40  9.87500000E+02  1.25000000E+01 -2.47851854E-01  1.23621869E+00  9.88366836E-01  2.50000000E-02  4.79837856E-14  9.13865368E-16 
      41  1.25000000E+01  3.75000000E+01 -5.98248598E-03  9.94349322E-01  9.88366836E-01  2.50000000E-02 -2.88663523E-14 -5.93922403E-15 
      42  3.75000000E+01  3.75000000E+01 -2.67561176E-01  1.25592801E+00  9.88366836E-01  2.50000000E-02  7.49676021E-15 -1.38599636E-13 
      43  6.25000000E+01  3.75000000E+01 -5.60496726E-01  1.54886356E+00  9.88366836E-01  2.50000000E-02  5.19814357E-14 -2.00712327E-14 
