 # Gnuplot DataFile Version
 # i x y bathy h zs Manning u v
       1  1.25000000E+01  1.25000000E+01  4.46335605E-01  1.00000000E+00  1.44633561E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       2  3.75000000E+01  1.25000000E+01 -6.05345608E-03  1.00000000E+00  9.93946544E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       3  6.25000000E+01  1.25000000E+01 -5.49514821E-01  1.00000000E+00  4.50485179E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       4  8.75000000E+01  1.25000000E+01  7.91149585E-01  1.00000000E+00  1.79114959E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       5  1.12500000E+02  1.25000000E+01  6.13669961E-02  1.00000000E+00  1.06136700E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       6  1.37500000E+02  1.25000000E+01  6.27517616E-01  1.00000000E+00  1.62751762E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       7  1.62500000E+02  1.25000000E+01  2.46381453E-01  1.00000000E+00  1.24638145E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       8  1.87500000E+02  1.25000000E+01  3.71292612E-01  1.00000000E+00  1.37129261E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
       9  2.12500000E+02  1.25000000E+01  9.46004258E-01  1.00000000E+00  1.94600426E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      10  2.37500000E+02  1.25000000E+01  5.74937168E-01  1.00000000E+00  1.57493717E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      11  2.62500000E+02  1.25000000E+01  4.39255120E-02  1.00000000E+00  1.04392551E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      12  2.87500000E+02  1.25000000E+01 -4.09949661E-02  1.00000000E+00  9.59005034E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      13  3.12500000E+02  1.25000000E+01  4.38687919E-01  1.00000000E+00  1.43868792E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      14  3.37500000E+02  1.25000000E+01 -7.91228831E-02  1.00000000E+00  9.20877117E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      15  3.62500000E+02  1.25000000E+01  2.44044062E-01  1.00000000E+00  1.24404406E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      16  3.87500000E+02  1.25000000E+01 -6.85643526E-01  1.00000000E+00  3.14356474E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      17  4.12500000E+02  1.25000000E+01  2.59727577E-02  1.00000000E+00  1.02597276E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      18  4.37500000E+02  1.25000000E+01 -5.16011811E-01  1.00000000E+00  4.83988189E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      19  4.62500000E+02  1.25000000E+01 -9.20531819E-01  1.00000000E+00  7.94681809E-02  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      20  4.87500000E+02  1.25000000E+01  2.92289694E-01  1.00000000E+00  1.29228969E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      21  5.12500000E+02  1.25000000E+01 -6.29697380E-01  1.00000000E+00  3.70302620E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      22  5.37500000E+02  1.25000000E+01  1.38086539E-01  1.00000000E+00  1.13808654E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      23  5.62500000E+02  1.25000000E+01 -7.46759496E-01  1.00000000E+00  2.53240504E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      24  5.87500000E+02  1.25000000E+01  7.38600993E-01  1.00000000E+00  1.73860099E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      25  6.12500000E+02  1.25000000E+01 -7.02905248E-01  1.00000000E+00  2.97094752E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      26  6.37500000E+02  1.25000000E+01  8.08237824E-01  1.00000000E+00  1.80823782E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      27  6.62500000E+02  1.25000000E+01  2.71836042E-01  1.00000000E+00  1.27183604E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      28  6.87500000E+02  1.25000000E+01  1.36223681E-01  1.00000000E+00  1.13622368E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      29  7.12500000E+02  1.25000000E+01 -3.85249797E-01  1.00000000E+00  6.14750203E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      30  7.37500000E+02  1.25000000E+01 -2.31877380E-01  1.00000000E+00  7.68122620E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      31  7.62500000E+02  1.25000000E+01  1.13778251E-01  1.00000000E+00  1.11377825E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      32  7.87500000E+02  1.25000000E+01 -2.03716185E-01  1.00000000E+00  7.96283815E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      33  8.12500000E+02  1.25000000E+01 -8.01970376E-01  1.00000000E+00  1.98029624E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      34  8.37500000E+02  1.25000000E+01 -2.45458514E-01  1.00000000E+00  7.54541486E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      35  8.62500000E+02  1.25000000E+01  6.55172082E-01  1.00000000E+00  1.65517208E+00  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      36  8.87500000E+02  1.25000000E+01 -7.59466771E-01  1.00000000E+00  2.40533229E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
      37  9.12500000E+02  1.25000000E+01 -1.48571111E-01  1.00000000E+00  8.51428889E-01  2.50000000E-02  0.00000000E+00  0.00000000E+00 
